Easting,Northing
531350,181580
532780,180410
531400,181570
531400,181570
531400,181570
531290,181570
533729,181264
533730,181260
531390,181560
532100,181830
532100,181830
533390,181920
532520,181630
532730,181160
532730,181160
531390,180820
532170,181450
533230,181150
531790,181410
531790,181410
531790,181410
531790,181410
533280,181600
533150,181340
533150,181340
533760,181280
532140,181300
533420,181060
533220,180950
533290,181590
533050,181240
533340,181670
531570,181580
531670,180940
532860,181510
532950,181290
532320,181190
533040,180830
532010,180940
532010,180940
533380,181380
532680,180900
532390,181010
532550,180790
532900,181210
533000,181050
531760,180840
532300,181370
533570,180940
532870,180840
531430,180820
532870,180780
532870,180780
532780,181770
532780,181770
533120,181330
533380,180870
533470,181300
531640,181204
532820,180920
533260,181550
533600,180940
532400,181180
533290,180730
532450,180971
533810,180970
532380,180830
533020,181060
531400,181580
532110,181850
531460,180830
532840,180720
531650,180540
533340,181730
533158,181366
533280,181590
531390,180830
531640,181120
532640,181100
532710,181100
533370,181820
532710,181520
531470,181450
533180,180940
531390,181180
533380,181930
531280,181300
533330,181670
533320,180710
532160,181240
533010,181620
533210,181440
532550,180790
531650,181060
532970,180960
533210,181470
531890,181370
531900,181370
531630,180830
533650,180950
531330,180820
533210,181430
532160,181590
532410,181170
532370,180990
531890,181370
532740,181160
533260,181530
532880,180810
532840,180870
531730,181450
532240,181020
532050,181820
531500,181320
532140,181850
533015,180945
532760,181670
531400,181570
531980,181790
532850,180870
531170,181130
531390,181560
532890,181210
531390,181570
531590,181420
532280,181030
531900,181370
531620,180870
533000,181030
533200,181440
533610,181190
532100,181880
530970,181620
532830,180850
533250,181530
531420,181560
533330,181130
533070,181260
533660,180940
531570,181570
532790,180980
533601,181184
532820,181190
531780,181160
532340,181190
531600,181360
533290,180730
533290,180730
531610,180870
532690,181460
532690,181460
533150,180790
531280,181300
532900,180710
533190,181400
532140,180860
532610,181290
532830,180700
531640,181070
531640,181070
531220,180820
531220,180820
532100,181290
533070,181470
533360,181750
533010,181060
531800,181400
531110,180820
531640,180910
532640,181120
532470,181040
533360,181750
532640,181270
533530,180850
531480,181170
531570,181570
531280,181300
533190,181400
532860,181200
532860,180850
532730,181320
533210,180770
532500,180800
533190,181420
531620,181210
531620,181210
532590,180920
532590,180920
532125,181270
532460,181050
531640,180990
531640,180990
532420,181570
531560,181570
531330,181170
531810,181780
532100,181840
533120,180670
533120,180670
531380,181180
532850,180880
531730,181450
532760,181110
531320,181170
532680,181560
532700,181130
532700,181130
531170,181130
533230,181410
533360,181400
532810,180930
532810,180930
533310,181630
531130,181290
532650,181280
532900,180700
533190,181420
533190,181420
531590,181170
533730,180900
531890,180930
533180,181420
533180,181420
531630,181180
532870,180850
531500,181340
532640,181120
533200,181560
531705,181739
531470,180840
533320,181360
532930,181510
532710,181120
531900,181840
533490,181110
533600,181180
