Code,Boroughs,TotalDaytimePopulation,WorkdayPopulation_excTourists,InWork_employee,inWork_selfEmployed),notInWork,aged_0_4,schoolChildrenAged_5plus,overseasStayingVisitors,domesticStayingVisitors,dayTripVisitors 
E09000001,City of London,190725,148753,114008,32997,837,150,761,2617,5710,33646
E09000002,Barking and Dagenham,4940,4559,1137,234,1694,556,939,46,23,311
E09000003,Barnet,4106,3819,1172,474,1246,311,616,64,15,208
E09000004,Bexley,3491,3215,925,205,1176,269,640,51,13,212
E09000005,Brent,6802,6363,2137,424,2236,571,996,103,29,307
E09000006,Bromley,2021,1811,566,153,626,142,324,30,14,165
E09000007,Camden,22722,19921,12754,1752,3552,613,1249,966,149,1686
E09000008,Croydon,4037,3640,1097,297,1268,335,644,67,17,314
E09000009,Ealing,5903,5501,1927,500,1734,469,870,110,34,259
E09000010,Enfield,3805,3436,1015,337,1150,311,623,57,13,299
E09000011,Greenwich,5390,4659,1282,407,1727,451,790,67,35,630
E09000012,Hackney,13851,12673,4446,1414,3881,1065,1868,137,60,981
E09000013,Hammersmith and Fulham,14054,12330,6447,1088,2652,733,1411,573,64,1086
E09000014,Haringey,7617,7091,1896,702,2692,644,1157,93,30,404
E09000015,Harrow,4541,4048,1172,333,1531,352,661,61,19,414
E09000016,Havering,1997,1813,568,112,688,136,308,36,7,140
E09000017,Hillingdon,3088,2827,1438,145,656,192,396,107,17,138
E09000018,Hounslow,5191,4855,2063,435,1317,381,659,78,29,230
E09000019,Islington,22017,19964,11526,1349,4798,896,1396,313,78,1662
E09000020,Kensington and Chelsea,20895,16272,8323,1457,3904,735,1854,2597,274,1752
E09000021,Kingston upon Thames,4455,4018,1571,286,1197,305,660,111,31,294
E09000022,Lambeth,11101,10074,4517,1185,2392,787,1193,267,83,677
E09000023,Lewisham,6518,5914,1514,620,2091,655,1033,81,25,498
E09000024,Merton,5156,4751,1723,469,1408,434,717,83,41,281
E09000025,Newham,8456,7595,2140,457,2880,762,1355,177,26,658
E09000026,Redbridge,4497,4216,1087,244,1575,414,895,61,14,206
E09000027,Richmond upon Thames,3305,2972,1094,281,815,253,529,74,34,225
E09000028,Southwark,14430,13238,6002,2371,2759,757,1348,238,41,913
E09000029,Sutton,4058,3708,1296,197,1145,318,751,51,11,288
E09000030,Tower Hamlets,20047,18570,10684,1087,3783,1088,1928,560,52,867
E09000031,Waltham Forest,5741,5422,1502,328,2059,580,953,60,15,245
E09000032,Wandsworth,7770,6942,2698,572,1983,648,1040,138,103,587
E09000033,Westminster,41735,33551,25838,2411,3417,619,1266,4434,248,3501
